;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
thief, models/e2/d2_thief.dkm, none, bbox,3000,0,0,-20,-20,0,20,20,60,0,0,0,0,0,0,0
harpy, models/e2/d2_harpy.dkm,none,bbox,300,0,0,-20,-20,-5,20,20,64,0,0,0,0,0,0,0
shield1, models/e2/d2_shield1.dkm, none, bbox,300,0,20,-3,-22,-30,3,22,33,METAL,0,0,0,0,0,0
shield2, models/e2/d2_shield2.dkm, none, bbox,300,0,20,-3,-19,-30,3,19,24,METAL,0,0,0,0,0,0
tritray, models/e2/d2_tritray.dkm, toss, bbox,300,0,20,-25,-25,-24,25,25,1,METAL,0,0,0,0,0,0
ctflag_blue, models/e2/ctflag_blue.dkm, none   , bbox  ,300,0,0,-8,-8,-24,8,8,60,0,0,0,0,0,0,0
ctflag_red, models/e2/ctflag_red.dkm, none   , bbox  ,300,0,0,-8,-8,-24,8,8,60,0,0,0,0,0,0,0
torch1, models/e2/d2_torch1.dkm, none, bbox,300,0,0,-5,-10,-28,5,10,1,0,0,0,0,0,0,0
torch2, models/e2/d2_torch2.dkm, none, bbox,300,0,0,-9,-6,-31,9,6,1,0,0,0,0,0,0,0
spillar, models/e2/d2_spillar.dkm, toss, bbox,300,0,20,-8,-10,-15,8,10,27,STONE,0,0,0,0,0,0
snakefire, models/e2/d2_snakefire.dkm, toss, bbox,300,0,0,-25,-24,-16,25,25,45,0,0,0,0,0,0,0
grkgrl, models/e2/d2_grkgrl.dkm, toss, bbox,300,0,100,-16,-15,-23,19,23,37,STONE,0,0,0,0,0,0
carycol, models/e2/d2_carycol.dkm, toss, bbox,300,0,100,-19,-15,-23,20,13,160,STONE,0,0,0,0,0,0
grkguy, models/e2/d2_grkguy.dkm, toss, bbox,300,0,100,-12,-13,-24,11,12,44,STONE,0,0,0,0,0,0
ferryman, models/e2/d2_ferryman.dkm, none,bbox,3000,0,0,-20,-20,0,20,20,60,0,0,0,0,,,
longtree, models/e2/d2_longtree.dkm, toss, bbox,300,0,0,-12,-15,-23,12,15,50,0,0,0,0,0,0,0
pv01, models/e2/d2_pv01.dkm, toss, bbox,300,0,1,-12,-16,-24,12,16,15,GLASS,0,0,0,0,0,0
pv02, models/e2/d2_pv02.dkm, toss, bbox,300,0,1,-18,-21,-24,18,21,38,GLASS,0,0,0,0,0,0
pv03, models/e2/d2_pv03.dkm, toss, bbox,300,0,1,-14,-15,-24,12,16,6,GLASS,0,0,0,0,0,0
pv04, models/e2/d2_pv04.dkm, toss, bbox,300,0,1,-16,-13,-24,16,13,43,GLASS,0,0,0,0,0,0
pv05, models/e2/d2_pv05.dkm, toss, bbox,300,0,1,-11,-12,-24,15,9,20,GLASS,0,0,0,0,0,0
vase01, models/e2/d2_vase01.dkm, toss, bbox,300,0,1,-9,-19,-24,7,13,1,GLASS,0,0,0,0,0,0
vase02, models/e2/d2_vase02.dkm, toss, bbox,300,0,1,-6,-11,-23,8,12,1,GLASS,0,0,0,0,0,0
vase03, models/e2/d2_vase03.dkm, toss, bbox,300,0,1,-7,-9,-23,5,12,1,GLASS,0,0,0,0,0,0
vase04, models/e2/d2_vase04.dkm, toss, bbox,300,0,1,-7,-9,-24,7,9,1,GLASS,0,0,0,0,0,0
vase05, models/e2/d2_vase05.dkm, toss, bbox,300,0,1,-7,-9,-24,7,9,1,GLASS,0,0,0,0,0,0
vase06, models/e2/d2_vase06.dkm, toss, bbox,300,0,1,-7,-7,-23,7,7,3,GLASS,0,0,0,0,0,0
vase07, models/e2/d2_vase07.dkm, toss, bbox,300,0,1,-5,-7,-23,11,7,2,GLASS,0,0,0,0,0,0
vase08, models/e2/d2_vase08.dkm, toss, bbox,300,0,1,-8,-8,-24,8,8,12,GLASS,0,0,0,0,0,0
vase09, models/e2/d2_vase09.dkm, toss, bbox,300,0,1,-10,-8,-24,10,8,22,GLASS,0,0,0,0,0,0
vase10, models/e2/d2_vase10.dkm, toss, bbox,300,0,1,-10,-10,-24,10,10,24,GLASS,0,0,0,0,0,0
vasegib1, models/e2/d2_vasegib1.dkm, toss,not,300,0,20,-1,-3,-24,1,3,1,0,0,0,0,0,0,0
vasegib2, models/e2/d2_vasegib2.dkm, toss,not,300,0,20,-3,-4,-24,3,4,1,0,0,0,0,0,0,0
vasegib3, models/e2/d2_vasegib3.dkm, toss,not,300,0,20,-3,-2,-24,3,2,1,0,0,0,0,0,0,0
hedge1, models/e2/d2_hedge1.dkm,none, bbox,300,0,50,-9,-19,-26,9,19,1,WOOD,0,0,0,0,0,0
bush4, models/e2/d2_bush4.dkm,none, bbox,300,0,50,-26,-30,-18,25,28,15,WOOD,0,0,0,0,0,0
bush4b, models/e2/d2_bush4b.dkm,none, bbox,300,0,50,-32,-33,-18,37,37,23,WOOD,0,0,0,0,0,0
bigA, models/e2/d2_bigA.dkm, toss, bbox,300,0,100,-36,-64,-31,38,92,337,0,0,0,0,0,0,0
athena, models/e2/d2_athena.dkm, toss, bbox,300,0,200,-21,-19,-23,20,18,39,STONE,0,0,0,0,0,0
athenap, models/e2/d2_athenap.dkm, toss, bbox,300,0,200,-21,-19,-24,20,19,38,STONE,0,0,0,0,0,0
aipes, models/e2/d2_aipes.dkm, toss, bbox,300,0,200,-18,-11,-24,12,19,44,STONE,0,0,0,0,0,0
aipesp, models/e2/d2_aipesp.dkm, toss, bbox,300,0,200,-18,-11,-24,12,19,44,STONE,0,0,0,0,0,0
poseidon, models/e2/d2_poseidon.dkm, toss, bbox,300,0,200,-19,-23,-27,20,24,66,STONE,0,0,0,0,0,0
poseidonp, models/e2/d2_poseidonp.dkm, toss, bbox,300,0,200,-19,-23,-27,20,24,66,STONE,0,0,0,0,0,0
dovegirl, models/e2/d2_dovegirl.dkm, toss, bbox,300,0,20,-12,-26,-25,13,29,4,STONE,0,0,0,0,0,0
chain1, models/e2/d2_chain1.dkm, none, bbox,300,0,20,-1,-1,-24,1,1,1,METAL,0,0,0,0,0,0
