;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
e3ctflag_blue, models/e3/e3ctflag_blue.dkm, none   , bbox  ,300,0,0,-8,-8,-24,8,8,60,0,0,0,0,0,0,0
e3ctflag_red, models/e3/e3ctflag_red.dkm, none   , bbox  ,300,0,0,-8,-8,-24,8,8,60,0,0,0,0,0,0,0
axe, models/e3/d3_axe.dkm, none,not,300,0,20,1,-10,-31,3,8,6,METAL,0,0,0,0,0,0
barrel, models/e3/d3_barrel.dkm, none, bbox,300,0,50,-12,-12,-32,12,12,3,WOOD,0,0,0,0,0,0
bed1, models/e3/d3_bed1.dkm, none, bbox,300,0,110,-55,-33,-31,55,33,1,WOOD,0,0,0,0,0,0
brazier, models/e3/d3_brazier.dkm, none, bbox,300,0,0,-15,-13,-32,16,13,1,0,0,0,0,0,0,0
cart, models/e3/d3_cart.dkm, none, bbox,300,0,100,-18,-38,-31,18,33,7,WOOD,0,0,0,0,0,0
chair2, models/e3/d3_chair2.dkm,toss, bbox,300,0,20,-8,-8,-8,8,8,8,WOOD,0,0,0,0,0,0
crowscage, models/e3/d3_crowscage.dkm, none, bbox,300,0,20,-6,-7,-32,7,7,7,METAL,0,0,0,0,0,0
dragonstatue, models/e3/d3_dragonstatue.dkm, none, bbox,2000,0,0,-50,-20,-24,13,20,170,0,0,0,0,0,0,0
fireshelf, models/e3/d3_fireshelf.dkm, none, bbox,300,0,20,-8,-8,-8,8,8,8,0,0,0,0,0,0,0
flag1, models/e3/d3_flag1.dkm, none, bbox,300,0,50,-17,-3,-31,52,3,42,WOOD,1,0~59,0,0,0,0
flag2, models/e3/d3_flag2.dkm, none, bbox,300,0,50,-13,-3,-32,10,3,21,WOOD,1,0~39,0,0,0,0
flag3, models/e3/d3_flag3.dkm, none, bbox,300,0,50,-17,-3,-35,52,3,42,WOOD,1,0~59,0,0,0,0
kegs, models/e3/d3_kegs.dkm, none, bbox,300,0,50,-15,-15,-32,11,15,4,WOOD,0,0,0,0,0,0
mug, models/e3/d3_mug.dkm, none,not,300,0,20,-2,-2,-32,2,4,1,STONE,0,0,0,0,0,0
skull, models/e3/d3_skull.dkm, none,not,300,0,50,-6,-5,-31,6,5,1,STONE,0,0,0,0,0,0
skullgate, models/e3/d3_skullgate.dkm, none, bbox,300,0,50,-5,-130,-32,133,129,309,STONE,0,0,0,0,0,0
sword, models/e3/d3_sword.dkm, none, bbox,300,0,50,1,-6,-31,2,6,24,METAL,0,0,0,0,0,0
shield, models/e3/d3_shield.dkm, none, bbox,300,0,50,1,-23,-33,7,23,14,METAL,0,0,0,0,0,0
table, models/e3/d3_table.dkm, none, bbox,300,0,85,-26,-40,-32,26,40,2,WOOD,0,0,0,0,0,0
wynorb, models/e3/d3_wynor.dkm, none, bbox,300,0,100,-24,-24,-32,24,24,154,STONE,0,0,0,0,0,0
wynstand, models/e3/d3_wynstand.dkm, none, bbox,300,0,300,-4,-8,-32,5,8,1,STONE,0,0,0,0,0,0
wynbook, models/e3/d3_wynbook.dkm, none,not,300,0,20,-5,-9,-32,5,9,1,STONE,0,0,0,0,0,0
winlight1, models/e3/d3_winlight1.dkm, none, bbox,300,0,50,-5,-19,-31,5,19,1,STONE,0,0,0,0,0,0
rod, models/e3/d3_rod.dkm, none, bbox,300,0,50,-14,-14,-32,14,14,10,STONE,0,0,0,0,0,0
corpse, models/e3/d3_corps.dkm,toss,bbox,300,0,75,-30,-15,-8,40,15,5,GIBS,0,0,0,0,0,0
barfloat, models/e3/d3_barfloat.dkm, none, bbox,300,0,50,-12,-12,-32,12,12,4,STONE,0,0,0,0,0,0
bone, models/e3/d3_bone.dkm, none, bbox,300,0,20,-8,-1,-32,8,1,1,GIBS,0,0,0,0,0,0
candle, models/e3/d3_candle.dkm, none, bbox,300,0,0,-4,-4,-32,4,4,11,0,0,0,0,0,0,0
crow, models/e3/d3_crow.dkm, none,not,300,0,20,-14,-20,-32,6,20,1,GIBS,0,0,0,0,0,0
deadtree, models/e3/d3_deadtree.dkm, none, bbox,300,0,0,-10,-10,-31,10,10,80,0,0,0,0,0,0,0
flask1, models/e3/d3_flask1.dkm, none, bbox,300,0,20,-1,-1,-31,1,1,1,STONE,0,0,0,0,0,0
flask2, models/e3/d3_flask2.dkm, none, bbox,300,0,20,-4,-3,-31,4,3,1,STONE,0,0,0,0,0,0
grain, models/e3/d3_grain.dkm, none, bbox,300,0,50,1,-10,-32,9,9,1,WOOD,0,0,0,0,0,0
rat, models/e3/d3_rat.dkm, none, bbox,300,0,20,-8,-3,-31,18,3,1,GIBS,0,0,0,0,0,0
ribcage, models/e3/d3_ribcage.dkm,toss, bbox,300,0,50,-8,-6,-32,8,6,1,GIBS,0,0,0,0,0,0
stool, models/e3/d3_stool.dkm, none, bbox,300,0,50,-7,-7,-32,7,7,1,WOOD,0,0,0,0,0,0
torch, models/e3/d3_torch.dkm, none, bbox,300,0,0,-16,-16,-24,16,16,32,0,0,0,0,0,0,0
ice, models/e3/d3_ice.dkm, none, bbox,300,0,50,-2,-2,-31,2,3,13,0,0,0,0,0,0,0
alter, models/e3/d3_alter.dkm, none, bbox,300,0,50,-21,-31,-32,20,30,1,WOOD,0,0,0,0,0,0
toga, models/e3/m_toga_dude.dkm, none, bbox,300,0,200,-16,-16,-24,16,16,32,WOOD,0,0,0,0,0,0
togag, models/e3/m_toga_girl.dkm, none, bbox,300,0,200,-16,-16,-24,16,16,32,WOOD,0,0,0,0,0,0
flamhold, models/e3/d3_flamehold.dkm, none, bbox,300,0,0,-16,-16,-24,16,16,32,0,0,0,0,0,0,0
croc, models/e3/m_croco.dkm, none, bbox,300,0,100,-16,-16,-24,16,16,32,GIBS,0,0,0,0,0,0
truck, models/e3/e1_truck.dkm, none, bbox,300,0,100,-16,-16,-24,16,16,32,GIBS,0,0,0,0,0,0
bubcorp1, models/e3/d3_bubcorpse.dkm,toss, bbox,300,0,50,-10,-10,-5,10,10,5,GIBS,0,0,0,0,0,0
bubcorp2, models/e3/d3_bubc2.dkm,toss, bbox,300,0,50,-10,-10,-5,10,10,5,GIBS,0,0,0,0,0,0
bubcorp3, models/e3/d3_bubc3.dkm,toss, bbox,300,0,50,-10,-10,-7,10,10,4,GIBS,0,0,0,0,0,0
bubskull, models/e3/d3_bubskull.dkm,toss, bbox,300,0,50,-3,-3,-3,5,3,3,GIBS,0,0,0,0,0,0
bubspine, models/e3/d3_bubspine.dkm,toss, bbox,300,0,50,-9,-7,-6,9,9,4,GIBS,0,0,0,0,0,0
flask3, models/e3/d3_flask3.dkm, none, bbox,300,0,20,-4,-3,-31,4,3,1,STONE,0,0,0,0,0,0
flask4, models/e3/d3_flask4.dkm, none, bbox,300,0,20,-4,-3,-31,4,3,1,STONE,0,0,0,0,0,0
cross, models/e3/e3_cross.dkm, none, bbox,300,0,50,-16,-16,-24,16,16,32,WOOD,0,0,0,0,0,0
deco1, models/e3/d3_dkdeco1.dkm, none, bbox,300,0,50,1,-45,-54,84,45,93,STONE,0,0,0,0,0,0
gar2, models/e3/d3_dkgar2.dkm, none,not,300,0,50,-131,-50,-30,131,100,435,STONE,0,0,0,0,0,0
iceshard, models/e3/d3_iceshard.dkm, none, bbox,300,0,50,-16,-16,-24,16,16,32,STONE,0,0,0,0,0,0
wingsk, models/e3/d3_wingsk.dkm, none, bbox,300,0,50,-16,-16,-24,16,16,32,WOOD,0,0,0,0,0,0
organ, models/e3/d3_organ.dkm, none, bbox,300,0,0,-28,-30,-32,15,30,30,0,0,0,0,0,0,0


; Each line in this file contains data on the decos in the directories,,,,,,,,,,,,,,,,,,,
