;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
daikatana, models/e4/d4_daikatana.dkm, none, bbox,300,0,20,-2,-3,-28,3,3,1,0,0,0,0,,,
1stwheel, models/e4/d4_wheel.dkm, none, bbox,300,0,20,-27,-6,-31,26,6,18,STONE,0,0,0,0,0,0
d4_afish, models/e4/d4_afish.dkm, none, bbox,300,0,20,-8,-3,-28,11,4,1,GIBS,1, 0~41,0,0,0,0
d4_rat, models/e4/d4_rat.dkm, none, bbox,300,0,20,-8,-3,-31,18,3,1,GIBS,0,0,0,0,0,0
barrel1, models/e4/d4_brl1.dkm, none, bbox,300,0,20,-11,-12,-32,12,11,2,METAL,0,0,0,0,0,0
barrel2, models/e4/d4_brl2.dkm, toss, bbox,300,1,1,-11,-12,-32,12,11,2,WOOD,0,0,0,0,0,0
barrel3, models/e4/d4_brl3.dkm, toss, bbox,300,1,1,-10,-10,-24,10,12,7,WOOD,0,0,0,0,0,0
bonsai1, models/e4/d4_bon.dkm, none, bbox,300,0,20,-5,-13,-31,5,7,1,WOOD,0,0,0,0,0,0
bonsai2, models/e4/d4_bon2.dkm, none, bbox,300,0,20,-6,-7,-31,6,5,1,WOOD,0,0,0,0,0,0
bonsai3, models/e4/d4_bon3.dkm, none, bbox,300,0,20,-9,-9,-32,8,7,1,WOOD,0,0,0,0,0,0
d4_bot1, models/e4/d4_bot1.dkm, none, bbox,300,0,20,-2,-2,-30,1,2,1,STONE,0,0,0,0,0,0
d4_bot2, models/e4/d4_bot2.dkm, none, bbox,300,0,20,-2,-2,-30,2,2,1,STONE,0,0,0,0,0,0
bottle, models/e4/d4_bottle.dkm,none,not,300,1,1,-2,-2,-30,2,2,1,STONE,0,0,0,0,0,0
d4_bread, models/e4/d4_bread.dkm, none, bbox,300,0,20,-2,-2,-31,6,2,1,WOOD,0,0,0,0,0,0
bush1, models/e4/d4_bush1.dkm, none, bbox,300,0,20,-11,-15,-31,14,15,1,WOOD,0,0,0,0,0,0
d4_cof, models/e4/d4_cof.dkm, none, bbox,300,0,20,-2,-3,-32,2,3,1,STONE,0,0,0,0,0,0
demon, models/e4/d4_demon.dkm, none, bbox,300,0,20,-16,-57,-32,23,58,86,STONE,0,0,0,0,0,0
goldencup, models/e4/d4_gcup.dkm, none, bbox,300,0,20,-4,-5,-32,4,5,1,STONE,0,0,0,0,0,0
ironbox, models/e4/d4_iron.dkm, toss, bbox,600,0,20,-13,-13,-24,13,13,4,METAL,0,0,0,0,0,0
japplant1, models/e4/d4_jppl1.dkm, none, bbox,300,0,20,-17,-20,-32,17,20,7,WOOD,0,0,0,0,0,0
japplant2, models/e4/d4_jppl2.dkm, none, bbox,300,0,20,-12,-9,-31,12,9,5,WOOD,0,0,0,0,0,0
jappot1, models/e4/d4_jppt1.dkm, none, bbox,300,0,20,-17,-20,-32,17,20,7,STONE,0,0,0,0,0,0
